# Von situs verfasste deutsche Namen für EUNIS-Habitattypen der Level 1 bis 3.
#
# Diese Datei ist die Quelle für alle Zeilen mit provenance=situs: hier steht,
# was situs selbst übersetzt hat, und keine externe Quelle steht dahinter.
# pipelines/eurlex/merge.py führt sie mit den amtlichen EUR-Lex-Zeilen zu einer
# localizations.csv zusammen und setzt source auf situs@<version>.
#
# EINE ZEILE JE HABITATTYP, mit dem englischen Original daneben: nur so ist eine
# Übersetzung ohne Index-Abfrage prüfbar. name_en ist eine Kontrollspalte und
# wandert NICHT in den Index; die Zusammenführung verwirft sie.
#
# name_de   — treu am englischen Original, biogeografische Zusätze mitübersetzt.
#             Wer beide nebeneinander legt, muss die Zuordnung ohne Fachwissen
#             bestätigen können.
# vernacular_de — der etablierte deutsche Begriff. LEER, wo keiner denselben
#             Umfang trägt. Das ist überwiegend dort der Fall, wo der Typ in
#             Deutschland nicht vorkommt: für mediterrane, makaronesische und
#             Schwarzmeer-Varianten gibt es keinen etablierten deutschen
#             Begriff, weil sie im Deutschen nie benannt werden. Ein Begriff,
#             der weiter reicht als der Typ, ist eine falsche Gleichsetzung und
#             bleibt weg.
#
# EUNIS-Level 1 bis 3, und nur Typen OHNE '='-Crosswalk nach annex1 — wo eine
# Ableitung aus dem amtlichen Anhang-I-Namen existiert, wird nichts erfunden.
# Level 1 und 2 haben gar keinen '='-Crosswalk (gemessen: keiner der 49 Codes),
# und die Ableitung erreicht sie auch nicht — ohne diese Zeilen bliebe ein
# Gruppenknopf in der App auf Dauer englisch.
#
# Auf Level 1 und 2 steht vernacular_de nur dort, wo der etablierte Begriff
# denselben Umfang trägt UND ihn nicht schon ein Untertyp führt: 'Hochmoor'
# gehört Q11, deshalb bleibt Q1 ('Hoch- und Deckenmoore') ohne Volksnamen. Ein
# Volksname, der auf zwei Ebenen dasselbe meint, macht die Rückwärtssuche
# mehrdeutig.
#
# Gruppen in EUNIS-Reihenfolge: N Küste, Q Moore/Sümpfe, R Grasland,
# S Gebüsch/Heide, T Wald, U Fels/Geröll, V Kulturland. Je Gruppe zuerst der
# Level-1-Code, dann die Level-2-Codes, dann die Level-3-Codes.
code,name_en,name_de,vernacular_de
U51,"Wind exposed Arctic and Boreal summits","Windexponierte arktische und boreale Gipfelfluren",
U52,"Polar desert","Polarwüste",
U53,"Glacial moraines with very sparse or no vegetation","Gletschermoränen mit sehr lückiger oder fehlender Vegetation",Gletschervorfeld
U61,"Subarctic volcanic field","Subarktisches Vulkanfeld",
U62,"Mediterranean, Macaronesian and temperate volcanic field","Mediterranes, makaronesisches und temperates Vulkanfeld",
U71,"Unvegetated or sparsely vegetated gravel bars in montane and alpine regions","Vegetationsfreie oder lückig bewachsene Kiesbänke der montanen und alpinen Lagen",Alpine Kiesbank
U72,"Unvegetated or sparsely vegetated gravel bars in the Mediterranean region","Vegetationsfreie oder lückig bewachsene Kiesbänke des Mittelmeerraums",
# --- V — Kulturland, Gärten, Hecken, Pflanzungen (38) ---
V,"Vegetated man-made habitats","Bewachsene anthropogene Lebensräume",
V1,"Arable land and market gardens","Acker- und Gartenbauflächen",Acker
V2,"Cultivated areas of gardens and parks","Bewirtschaftete Garten- und Parkflächen",
V3,"Artificial grasslands and herb dominated habitats","Künstliche Rasen und von Kräutern beherrschte Lebensräume",
V4,"Hedgerows","Hecken",Hecke
V5,"Shrub plantations","Strauchpflanzungen",
V6,"Tree dominated man-made habitats","Von Bäumen beherrschte anthropogene Lebensräume",
V11,"Intensive unmixed crops","Intensiv genutzte Reinkulturen",Intensivacker
V12,"Mixed crops of market gardens and horticulture","Mischkulturen des Gemüse- und Gartenbaus",Gärtnerei
V13,"Arable land with unmixed crops grown by low-intensity agricultural methods","Acker mit Reinkulturen extensiver Bewirtschaftung",Extensivacker
V14,"Inundated or inundatable croplands, including rice fields","Überflutete oder überflutbare Ackerflächen, einschließlich Reisfelder",
V15,"Bare tilled, fallow or recently abandoned arable land","Offener bearbeiteter Boden, Brache oder kürzlich aufgegebener Acker",Ackerbrache
V21,"Large-scale ornamental garden areas","Großflächige Zierpflanzungen",Parkanlage
V22,"Small-scale ornamental and domestic garden areas","Kleinflächige Zier- und Hausgärten",Hausgarten
V23,"Recently abandoned garden areas","Kürzlich aufgegebene Gartenflächen",
V31,"Agriculturally-improved, re-seeded and heavily fertilised grassland, including sports fields and grass lawns","Landwirtschaftlich verbessertes, neu angesätes und stark gedüngtes Grünland, einschließlich Sportplätze und Zierrasen",Intensivgrünland
V32,"Mediterranean subnitrophilous annual grasslands","Mediterrane subnitrophile Annuellenrasen",
V33,"Dry mediterranean lands with unpalatable non-vernal herbaceous vegetation","Trockene mediterrane Flächen mit nicht verbissener, nicht frühjahrsgrüner Krautvegetation",
V34,"Trampled xeric grasslands with annuals","Trittbelastete Trockenrasen mit Annuellen",Trittrasen
V35,"Trampled mesophilous grasslands with annuals","Trittbelastete frische Rasen mit Annuellen",Trittrasen
V36,"Alpine and subalpine enriched grassland","Alpiner und subalpiner nährstoffreicher Rasen",Lägerflur
V37,"Annual anthropogenic herbaceous vegetation","Einjährige anthropogene Krautvegetation",Ruderalflur
V38,"Dry perennial anthropogenic herbaceous vegetation","Trockene ausdauernde anthropogene Krautvegetation",Trockene Ruderalflur
V39,"Mesic perennial anthropogenic herbaceous vegetation","Frische ausdauernde anthropogene Krautvegetation",Frische Ruderalflur
V41,"Hedgerows of non-native species","Hecken aus gebietsfremden Arten",
V42,"Highly-managed hedgerows of native species","Intensiv gepflegte Hecken aus heimischen Arten",Schnitthecke
V43,"Species-rich hedgerows of native species","Artenreiche Hecken aus heimischen Arten",Artenreiche Feldhecke
V44,"Species-poor hedgerows of native species","Artenarme Hecken aus heimischen Arten",
V51,"Shrub plantations for whole-plant harvesting","Strauchpflanzungen zur Ganzpflanzen-Ernte",
V52,"Shrub plantations for leaf or branch harvest","Strauchpflanzungen zur Blatt- oder Zweigernte",
V53,"Shrub plantations for ornamental purposes or for fruit, other than vineyards","Strauchpflanzungen zu Zier- oder Fruchtzwecken, ausgenommen Weinberge",Beerenobstanlage
V54,"Vineyards","Weinberge",Weinberg
V61,"Broadleaved fruit and nut tree orchards","Laubbaum-Obst- und Nussanlagen",Streuobstwiese
V62,"Evergreen orchards and groves","Immergrüne Obst- und Baumhaine",
V63,"Lines of planted trees","Baumreihen",Baumreihe
V64,"Small deciduous broadleaved planted other wooded land","Kleinflächige gepflanzte laubabwerfende Gehölzbestände",Feldgehölz
V65,"Small evergreen broadleaved planted other wooded land","Kleinflächige gepflanzte immergrüne Laubgehölzbestände",
V66,"Small coniferous planted other wooded land","Kleinflächige gepflanzte Nadelgehölzbestände",
